City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Zhaodong,CN,2022-12-21 20:46:57,46.0833,125.9833,-5.04,94,100,12.06
238,Urusha,RU,2022-12-21 20:46:57,54.05,122.9,-28.34,97,59,3.38
239,Torrejon De Ardoz,ES,2022-12-21 20:46:57,40.4553,-3.4697,53.65,92,75,17.27
240,Pisco,PE,2022-12-21 20:46:58,-13.7,-76.2167,77.05,69,0,24.16
241,Kushima,JP,2022-12-21 20:46:59,31.4583,131.2333,49.5,82,21,13.89
242,Goderich,CA,2022-12-21 20:46:59,43.7501,-81.7165,27.91,68,63,4.61
243,Terrace Bay,CA,2022-12-21 20:47:00,48.7834,-87.1,4.71,83,97,6.55
244,Nkhotakota,MW,2022-12-21 20:47:00,-12.9274,34.2961,71.92,93,100,6.82
245,Lakes Entrance,AU,2022-12-21 20:47:01,-37.8811,147.981,59.16,74,100,3.71
246,Atar,MR,2022-12-21 20:47:01,20.5169,-13.0499,67.64,18,0,9.55
247,Nanortalik,GL,2022-12-21 20:47:02,60.1432,-45.2371,20.59,58,0,5.23
248,Sisimiut,GL,2022-12-21 20:47:02,66.9395,-53.6735,13.59,65,22,7.63
249,Saskylakh,RU,2022-12-21 20:47:03,71.9167,114.0833,-30.73,94,7,9.93
250,Gazojak,TM,2022-12-21 20:47:03,41.1875,61.4036,28.08,70,0,6.49
251,Chuy,UY,2022-12-21 20:47:03,-33.6971,-53.4616,71.98,59,66,13.58
252,Kiama,AU,2022-12-21 20:47:04,-34.6833,150.8667,67.24,73,100,5.01
253,Codrington,AU,2022-12-21 20:47:05,-38.2667,141.9667,63.63,75,99,3.2
254,Saint-Francois,FR,2022-12-21 20:47:05,46.4154,3.9054,53.04,71,100,8.05
255,Yambio,SS,2022-12-21 20:47:06,4.5721,28.3955,74.55,46,80,3.13
256,Naron,ES,2022-12-21 20:47:06,43.5167,-8.1528,63.59,88,79,14.63
257,Fort Nelson,CA,2022-12-21 20:47:06,58.8053,-122.7002,-40.41,60,20,2.3
258,Kwinana,AU,2022-12-21 20:47:07,-32.25,115.7667,71.19,55,11,1.01
259,Pacific Grove,US,2022-12-21 20:46:04,36.6177,-121.9166,63.25,65,0,8.99
260,Hervey Bay,AU,2022-12-21 20:47:08,-25.2986,152.8535,72.3,62,9,9.55
261,Shingu,JP,2022-12-21 20:47:08,33.7333,135.9833,52.07,93,82,7.65
262,Chumikan,RU,2022-12-21 20:47:09,54.7183,135.315,-5.53,93,99,14.83
263,Turbat,PK,2022-12-21 20:47:09,26.0023,63.044,59.29,21,7,11.18
264,Beringovskiy,RU,2022-12-21 20:47:09,63.05,179.3167,25.92,66,100,36.73
265,Nago,JP,2022-12-21 20:47:10,26.5881,127.9761,59.45,61,1,23.4
266,Fuente Palmera,ES,2022-12-21 20:47:10,37.7049,-5.0996,50.95,83,100,1.99
267,Bodden Town,KY,2022-12-21 20:47:11,19.2833,-81.25,82.98,79,40,6.91
268,Atasu,KZ,2022-12-21 20:47:11,48.6814,71.6433,2.1,97,100,11.12
269,Iqaluit,CA,2022-12-21 20:47:12,63.7506,-68.5145,-4.27,70,40,2.3
270,Sarangani,PH,2022-12-21 20:47:12,5.4033,125.4636,82.33,79,83,14.97
271,Impfondo,CG,2022-12-21 20:47:13,1.6381,18.0667,75.6,73,90,2.84
272,Matara,LK,2022-12-21 20:47:13,5.9485,80.5353,75.36,91,100,4.29
273,Bambous Virieux,MU,2022-12-21 20:47:13,-20.3428,57.7575,76.21,78,40,3.44
274,Troitskoye,RU,2022-12-21 20:47:14,52.9821,84.6757,29.25,77,100,22.82
275,Denpasar,ID,2022-12-21 20:46:27,-8.65,115.2167,78.46,94,75,18.41
276,Gamba,GA,2022-12-21 20:47:15,-2.65,10.0,77.02,85,100,3.18
277,Bhag,PK,2022-12-21 20:47:15,29.0415,67.8239,61.12,20,7,4.97
278,Sillod,IN,2022-12-21 20:47:15,20.3,75.65,66.02,41,19,5.26
279,Deputatskiy,RU,2022-12-21 20:48:16,69.3,139.9,-9.45,99,99,1.19
280,Port Blair,IN,2022-12-21 20:48:17,11.6667,92.75,79.61,75,60,9.06
281,Guasdualito,VE,2022-12-21 20:48:17,7.2424,-70.7324,87.8,55,20,5.75
282,North Myrtle Beach,US,2022-12-21 20:47:30,33.816,-78.68,47.12,87,100,9.22
283,Bethel,US,2022-12-21 20:48:18,41.3712,-73.414,39.65,56,22,2.19
284,Highland Springs,US,2022-12-21 20:48:18,37.546,-77.3278,47.05,51,0,4.61
285,Marystown,CA,2022-12-21 20:48:19,47.1666,-55.1483,32.2,71,38,12.5
286,Isangel,VU,2022-12-21 20:48:19,-19.55,169.2667,78.91,94,100,2.3
287,Ilulissat,GL,2022-12-21 20:48:19,69.2167,-51.1,14.02,41,40,11.5
288,Vanimo,PG,2022-12-21 20:48:20,-2.6741,141.3028,77.97,87,100,3.71
289,Viedma,AR,2022-12-21 20:48:20,-40.8135,-62.9967,87.35,31,90,19.69
290,Khandyga,RU,2022-12-21 20:48:21,62.6667,135.6,-23.21,95,100,0.72
291,Cherskiy,RU,2022-12-21 20:48:21,68.75,161.3,4.77,61,0,3.94
292,Sitka,US,2022-12-21 20:48:22,57.0531,-135.33,24.69,54,20,0.0
293,Padang,ID,2022-12-21 20:48:22,-0.9492,100.3543,76.05,82,88,4.25
