,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
567,Gryazovets,RU,282.08,light rain,58.88,40.2525,Дружба
568,Anshun,CN,295.51,overcast clouds,26.25,105.9333,百灵希尔顿逸林酒店
569,Husavik,IS,270.33,broken clouds,66.0449,-17.3389,Fosshótel Húsavík
573,Edgewater,US,297.2,clear sky,28.9889,-80.9023,Best Western Edgewater Inn
574,Saint-Denis,FR,284.03,overcast clouds,48.9167,2.3333,Hôtel de France
578,Presidencia Roque Saenz Pena,AR,288.41,clear sky,-26.7852,-60.4388,Hotel Presidente
579,Termiz,UZ,298.2,clear sky,37.2242,67.2783,Sharq
582,Tottori,JP,289.19,few clouds,35.5,134.2333,とらや旅館
584,Bathsheba,BB,299.49,light rain,13.2167,-59.5167,Atlantis Hotel
585,Grand-Lahou,CI,299.11,overcast clouds,5.1367,-5.0242,Cap Lahou
586,Asilah,MA,294.13,overcast clouds,35.465,-6.0348,Hotel Las Palmas
588,Iquitos,PE,298.17,overcast clouds,-3.7481,-73.2472,Marfil del Amazonas
590,Sao Geraldo Do Araguaia,BR,295.97,overcast clouds,-6.4006,-48.555,Tomazi Hotel
592,Fukuma,JP,296.64,scattered clouds,33.7667,130.4667,割烹旅館 正直亭
593,Tilichiki,RU,269.9,clear sky,60.4667,166.1,Тиличики
595,Paramonga,PE,296.89,broken clouds,-10.6667,-77.8333,Hotel Rico
598,Taltal,CL,289.62,clear sky,-25.4,-70.4833,Hostería Taltal
601,Salihorsk,BY,278.4,overcast clouds,52.7876,27.5415,Новае Палессе
602,Guerrero Negro,MX,287.85,clear sky,27.9769,-114.0611,Plaza sal paraiso
604,Melilla,ES,291.36,mist,35.2937,-2.9383,Rusadir
609,Lososina,RU,280.0,broken clouds,48.9975,140.3106,Гостинный Двор
610,Tianpeng,CN,297.41,scattered clouds,30.9866,103.9393,Argyle Hotel
612,Katsuura,JP,290.03,clear sky,35.1333,140.3,潮騒の宿
614,Sahuaripa,MX,293.19,clear sky,29.05,-109.2333,Hotel El Molino
616,Asfi,MA,294.59,broken clouds,32.2994,-9.2372,Golden Tulip Farah Safi
618,Ucluelet,CA,281.53,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
619,Bardiyah,LY,291.77,clear sky,31.7561,25.0865,فندق البردي
622,Ishinomaki,JP,292.15,clear sky,38.4167,141.3,丹美旅館
623,Ust-Kut,RU,276.41,overcast clouds,56.7938,105.7672,Домашний очаг
627,Davidson,US,287.24,scattered clouds,36.1501,-86.7833,Fairfield Inn & Suites
631,Pascagoula,US,296.18,broken clouds,30.3658,-88.5561,Grand Magnolia
632,Seoul,KR,294.81,clear sky,37.5683,126.9778,뉴국제호텔
633,Baft,IR,289.84,overcast clouds,29.234,56.6057,هتل شایگان
639,Weihai,CN,289.34,clear sky,37.5017,122.1136,Huakun
